date,tweet,sentiment
Fri Mar 23 00:53:57 +0000 2018,"@Blued0g420 @MisterFarbridge yeah for sure, many things are over priced in this space. #Bitcoin is not one of them however 😎",1.0
Fri Mar 23 00:54:10 +0000 2018,"Thanks to my persistence, hard work and constant observation of the markets I could create this FX Robot. #Close #CFD #Bitcoin",0.0
Fri Mar 23 00:55:02 +0000 2018,"THE MOST INNOVATIVE AND LUCRATIVE WAY TO EARN BITCOIN
JOIN BITCLUB NETWORK!!",1.0
Fri Mar 23 00:55:12 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:55:20 +0000 2018,Bitcoin is still early in the network effects game,0.0
Fri Mar 23 00:55:51 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:56:04 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:56:05 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:56:40 +0000 2018,"@tferriss You mean bitcoin, right?  C’mon this is a joke.",0.0
Fri Mar 23 00:59:40 +0000 2018,"I respect shitcoin's right to exist.

Because all y'all ain't nothing more than Bitcoin testnets.

We will jack all your innovations.",1.0
Fri Mar 23 01:00:00 +0000 2018,"Bad news: Bitcoin on the decline.
Current Rate: 8680.62 USD = 1 BTC",0.0
Fri Mar 23 01:00:02 +0000 2018,"Average Bitcoin market price is: USD 8,675.33, EUR 7,046.78",0.0
Fri Mar 23 01:00:07 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:00:17 +0000 2018,Install CryptoTab and mine Bitcoin! httpGet more than 1 BTC per month! Develop the network and get your rewardss://getcryptotab.com/422427,1.0
Fri Mar 23 01:00:27 +0000 2018,#XEM Price is 0.00003374 (-0.00000011) #BTC / 0.292824 (-0.00112) #USD. Market rank is 13. #nem #bitcoin #blockchain,0.0
Fri Mar 23 01:00:29 +0000 2018,#ADA Price is 0.00002297 (-0.00000011) #BTC / 0.199412 (-0.00104) #USD. Market rank is 6. #cardano #bitcoin #blockchain,0.0
Fri Mar 23 01:00:29 +0000 2018,#DASH Price is 0.0474768 (-0.00029230) #BTC / 412.08 (-2.72100) #USD. Market rank is 12. #dash #bitcoin #blockchain,0.0
Fri Mar 23 01:00:29 +0000 2018,#SUB Price is 0.00004829 (+0.00000056) #BTC / 0.419721 (+0.00527) #USD. Market rank is 114. #substratum #bitcoin #blockchain,0.0
Fri Mar 23 01:00:30 +0000 2018,#EOS Price is 0.00079116 (-0.00000373) #BTC / 6.86695 (-0.03540) #USD. Market rank is 7. #eos #bitcoin #blockchain,0.0
Fri Mar 23 01:01:00 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:01:06 +0000 2018,Curious about where $BTC stands? Bitcoin is $8650.00 Enjoy your day. ↕️,1.0
Fri Mar 23 01:01:32 +0000 2018,New #bitcoin block 0000000000000000000ddc396a7ed473727624a4e72287b0d9b45c8c6a1022c5 mined at height 514744.,1.0
Fri Mar 23 01:01:43 +0000 2018,Current price of Bitcoin is $8650.00 “Like” if thats good for you and “retweet” if thats not good for you #bitcoin #btc #bitcoinprice,1.0
Fri Mar 23 01:02:08 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:03:29 +0000 2018,@freebitco hello i want to win bitcoin,1.0
Fri Mar 23 01:03:58 +0000 2018,".Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:04:06 +0000 2018,@eskintan Thanks for supporting my art and #bitcoin brother!,1.0
Fri Mar 23 01:04:08 +0000 2018,"Broke: Trying to identify and support young promising shitcoins.

Woke: Trying to identify and support  young promising Bitcoin talent.",1.0
Fri Mar 23 01:04:11 +0000 2018,"@zerosum0x0 @sundhaug92 ""I hacked Bitcoin using this weird trick!""",0.0
Fri Mar 23 01:04:18 +0000 2018,Really need my crypto to blow up so I can buy a bitcoin gat,1.0
Fri Mar 23 01:04:29 +0000 2018,@TronNews_ Do you think trx will ever get rid off Bitcoin and become more steady?,1.0
Fri Mar 23 01:04:45 +0000 2018,"""Bitcoin Core is a cult trapped in a world of platonic forms."" - @DanielKrawisz @Satoshis_Vision Conference",0.0
Fri Mar 23 01:04:50 +0000 2018,"@GlennDuggan Exactly, I also only pay with bitcoin to avoid a paper trail.",1.0
Fri Mar 23 01:04:54 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:05:37 +0000 2018,@DepressionEcon And after bitcoin is done pumping. It’ll be our time lol,1.0
Fri Mar 23 01:06:02 +0000 2018,"Bitcoin is my hedge. With the DJIA down 700+, if the global economy craps the bed in the next 10 years, Bitcoin will Rule...
#Bitcoin",0.0
Fri Mar 23 01:06:57 +0000 2018,Hey... here's some TA or whatever... #bitcoin is going to go sideways for FUCKING EVER!!!!!!,0.0
Fri Mar 23 01:09:14 +0000 2018,"I have 1,000 dollars in bitcoin and not afraid to use it",1.0
Fri Mar 23 01:09:24 +0000 2018,BTC $8721.02 Down -$0.55 -0.01% in the last hour #bitcoin #bitsmart,0.0
Fri Mar 23 01:09:35 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:10:02 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:10:18 +0000 2018,"I used #bitcoin to buy headphones yesterday and they're gonna be here on Monday...
What a time to be alive.",1.0
Fri Mar 23 01:10:21 +0000 2018,#Blockchain is the tech. #Bitcoin is merely the first mainstream manifestation of its potential. #freecoins,0.0
Fri Mar 23 01:10:38 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:12:08 +0000 2018,Drive Genuine Cryptocurrency bitcoin traffic for ICO for $5: Welcome to the best bitcoin website traffic Want to Get…,1.0
Fri Mar 23 01:12:11 +0000 2018,"Bitcoin will be succesful long term if we worship a decentralized system, not a centralized leader.",0.0
Fri Mar 23 01:12:55 +0000 2018,"@_Kevin_Pham how much did you invest to mine Bitcoin, Kevin ?",1.0
Fri Mar 23 01:13:25 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:14:34 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:14:39 +0000 2018,New #bitcoin block 00000000000000000009fb95b43a4042b322c5468c7763368920718708ff65a0 mined at height 514745.,1.0
Fri Mar 23 01:15:05 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:17:35 +0000 2018,@_Kevin_Pham Trumps retarded policies and actions are about to make bitcoin way more valuable...probably sooner than later.,0.0
Fri Mar 23 01:17:52 +0000 2018,"@pwthornton Bitcoin fans: Fuck the FDIC and big government regulations!
Also Bitcoin fans: What the fuck just happened to my money?",0.0
Fri Mar 23 01:18:03 +0000 2018,@twobitidiot Same. Gold is seen as a global currency and bitcoin is the new age version of it.,1.0
Fri Mar 23 01:19:02 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:19:46 +0000 2018,@ValoremF a great bonus to pursue. #AdVelorem #Bitcoin #Valorem #Ico,1.0
Fri Mar 23 01:19:49 +0000 2018,"@pipis @makmummasjid Me ; 
PINTEREST RENEGADE, BRANDING INTERN, BITCOIN CZAR. IGNORING YOUR PASSION IS LIKE DYING A SLOW DEATH.",0.0
Fri Mar 23 01:22:20 +0000 2018,@illusionfoxe in fact by mining a bitcoin you actually end up spending a bunch of money. and/or burning your house down. or both.,0.0
Fri Mar 23 01:22:38 +0000 2018,Celebrate birthday and take interesting prizes with @bethereumteam #bethereum #bitcoin #news #crypto #blockchain #betting #tokensupply #bthr,1.0
Fri Mar 23 01:23:08 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:23:29 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:24:38 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:26:21 +0000 2018,@APompliano but what if someone killed all the bitcoin developers?,0.0
Fri Mar 23 01:26:40 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:26:40 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:26:45 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:26:49 +0000 2018,Satoshi Nakamoto as banned the project of bitcoin in 2015. So making money off a dead coin pure trolling!,1.0
Fri Mar 23 01:27:15 +0000 2018,"@CryptoCamel1 @MoonOverlord I hate to tell you this... but even 10,000 50k+ follower accounts don't make 24k bitcoin volume.",0.0
Fri Mar 23 01:28:20 +0000 2018,"@buzzshownetwork 
This project is great
#Bitcoin #ICO #BTC #ETH #YouTube",1.0
Fri Mar 23 01:28:21 +0000 2018,@brian_lovin @ruzannaroz If someone can tell me a quick shortcut for the degrees symbol I’ll give you all the Bitcoin I own,1.0
Fri Mar 23 01:28:49 +0000 2018,@option_snipper For a second I thought the chart belongs to bitcoin LOL,1.0
Fri Mar 23 01:29:35 +0000 2018,how many out there have applied the Ichimoku Cloud to trading #bitcoin?,1.0
Fri Mar 23 01:30:04 +0000 2018,One Bitcoin now worth $8557.49@bitstamp. High $9099.590. Low $8503.520. Market Cap $144.899 Billion #bitcoin,1.0
Fri Mar 23 01:30:27 +0000 2018,#XEM Price is 0.00003330 (-0.00000044) #BTC / 0.286412 (-0.00641) #USD. Market rank is 13. #nem #bitcoin #blockchain,0.0
Fri Mar 23 01:30:28 +0000 2018,#EOS Price is 0.00077699 (-0.00001417) #BTC / 6.69056 (-0.17639) #USD. Market rank is 7. #eos #bitcoin #blockchain,0.0
Fri Mar 23 01:30:29 +0000 2018,#ADA Price is 0.00002276 (-0.00000021) #BTC / 0.195699 (-0.00371) #USD. Market rank is 6. #cardano #bitcoin #blockchain,0.0
Fri Mar 23 01:30:29 +0000 2018,#DASH Price is 0.0472481 (-0.00022870) #BTC / 406.329 (-5.75100) #USD. Market rank is 12. #dash #bitcoin #blockchain,0.0
Fri Mar 23 01:30:30 +0000 2018,#SUB Price is 0.00004793 (-0.00000036) #BTC / 0.412197 (-0.00752) #USD. Market rank is 114. #substratum #bitcoin #blockchain,0.0
Fri Mar 23 01:30:45 +0000 2018,What’s up with them bitcoin wallets... y’all been quiet lately.. talk to me,0.0
Fri Mar 23 01:31:06 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:32:08 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:32:22 +0000 2018,"#Bitcoin is based on #blockchain. A public ledger of transactions that's safe, huge potential to be future currency. #bitcoinminer",1.0
Fri Mar 23 01:32:43 +0000 2018,@ezbreh @altcointhoreau easy.. sell house when 3k and buy more bitcoin,1.0
Fri Mar 23 01:33:24 +0000 2018,New #bitcoin block 00000000000000000048e6d5fc56c1eb43530236193bd8bec8101caf8f2befd7 mined at height 514746.,1.0
Fri Mar 23 01:33:42 +0000 2018,So @rocketman_ai  you like #Bitcoin &amp; #Crypto Cool 👍🏻 Great to connect RocketMan much appreciated,1.0
Fri Mar 23 01:34:54 +0000 2018,"Go home, Bitcoin, you’re drunk.",0.0
Fri Mar 23 01:37:39 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:39:17 +0000 2018,Bitcoin news sentiment changed to Negative in the last hour #bitcoin #bitsmart,0.0
Fri Mar 23 01:39:28 +0000 2018,"It is a exiting news. I hope it will be a great project.
#CCA #ICO #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",1.0
Fri Mar 23 01:39:28 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:39:33 +0000 2018,"Correcting wrong or strange Kanji Tattoo designs.
1 revision ＝ 0.00005bitcoin
Give me DM or reply.
#Japanese #Kanji #tattoo #bitcoin",0.0
Fri Mar 23 01:40:01 +0000 2018,"BTC-KORE AskRate: 0.00035205 #Bittrex  #KORE $KORE #Kore #altcoin #bitcoin #cryptocurrencies
 ♥ FOLLOW for PROFIT",1.0
Fri Mar 23 01:40:10 +0000 2018,Ready Player One is a synonym for bitcoin,1.0
Fri Mar 23 01:40:30 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:40:32 +0000 2018,"Yes, I'm reading all the updated exchange TOU's. But I'm sure as hell not liking it. #bitcoin.",1.0
Fri Mar 23 01:42:21 +0000 2018,"Cityof Atlanta has a cyber attacker?
locked them out of accounts for ransom in bitcoin or sumn lol",1.0
Fri Mar 23 01:43:57 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:44:51 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:45:06 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:45:12 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:45:55 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:48:54 +0000 2018,"#BinaryFest #BinaryOptions #Forex #Bitcoin #MakeMoney, How to Choose the Best Forex Broker For You...",1.0
Fri Mar 23 01:49:06 +0000 2018,@coindesk Would be curious to see how this actually works #btc #bitcoin,0.0
Fri Mar 23 01:49:13 +0000 2018,"The Robot can tell the price movements in the next few seconds, that's why it's easy to win much money very fast. #BestEA #Bitcoin",1.0
Fri Mar 23 01:49:47 +0000 2018,"@Stephen81183184 @YouTube Lol the guys does bad investment on bitcoin, and tries to gives some on Linda. 1000x!!! Where do i sign lol",1.0
Fri Mar 23 01:50:18 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:50:41 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:50:45 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:50:46 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:51:34 +0000 2018,@ruzannaroz @brian_lovin That’s the one! You win all my bitcoin! Sorry that I don’t own any....,1.0
Fri Mar 23 01:51:47 +0000 2018,@jaykelly26 👍BBC is much more trustworthy  I still don't understand shite about bitcoin tho,1.0
Fri Mar 23 01:52:47 +0000 2018,@Trader_Dante Am only interested in your 24k gold bitcoin toilet flush button,1.0
Fri Mar 23 01:54:29 +0000 2018,"Wow my tweet is getting deleted about @usbank not processing crypto transactions? What’s actually going on... 

#crypto
#BTCUSD 
#bitcoin",1.0
Fri Mar 23 01:55:29 +0000 2018,@matthiasochs13 @LaneSnyder22 he's working with responsive blockchain artificial intelligence and gets paid in bitcoin,0.0
Fri Mar 23 01:55:37 +0000 2018,"My goal is to inspire a new generation of Bitcoin shitposters, so I can fade away and dissappear into the background....",1.0
Fri Mar 23 01:55:43 +0000 2018,"""Increasing the Bitcoin blocksize was the most important step, but it's one among many.""

- Emin Gün Sirer @Satoshis_Vision Conference",1.0
Fri Mar 23 01:55:49 +0000 2018,"@el33th4xor 'hey all look at me im a nice guy donating to charity with Bitcoin Cash - see, we're the good guys'. You make me sick.",1.0
Fri Mar 23 01:55:59 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:56:01 +0000 2018,I feel that bitcoin is ridiculous and that's excellent,1.0
Fri Mar 23 01:56:59 +0000 2018,Ecuador the only country in the world where you can buy real estate with BTC and ETH contact me. @Bitcoin @ethereum @bitcoingold @BITCOlN,1.0
Fri Mar 23 01:57:20 +0000 2018,Have you invested in Bitcoin or any other cryptocurrency?,0.0
Fri Mar 23 01:57:34 +0000 2018,"This coin exchange crap is dumb.
Exchange burn - 1/1 crap 
Does bitcoin or Litecoin do this crap. Not easy for all of us to exchange",0.0
Fri Mar 23 01:57:35 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:57:36 +0000 2018,@alamin24 @Bitcoin It will be more advanced in the future!!,1.0
Fri Mar 23 01:57:52 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:57:55 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:58:14 +0000 2018,@zucando ??? I love #bitcoin #ethereum and #Litecoin,1.0
Fri Mar 23 01:58:27 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 01:59:11 +0000 2018,"Good question:  which has more attributes of money or currency -- Bitcoin, or Amazon gift cards?   Its close call.",1.0
Fri Mar 23 02:00:00 +0000 2018,"Bad news: Bitcoin on the decline.
Current Rate: 8611.88 USD = 1 BTC",0.0
Fri Mar 23 02:00:02 +0000 2018,"Average Bitcoin market price is: USD 8,611.88, EUR 6,990.94",0.0
Fri Mar 23 02:00:06 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 02:00:09 +0000 2018,@PardonMyTake Are we still supporting bitcoin 2 gen now,1.0
Fri Mar 23 02:00:28 +0000 2018,#SUB Price is 0.00004854 (+0.00000061) #BTC / 0.417313 (+0.00512) #USD. Market rank is 112. #substratum #bitcoin #blockchain,0.0
Fri Mar 23 02:00:30 +0000 2018,#ADA Price is 0.00002266 (-0.00000010) #BTC / 0.194882 (-0.00082) #USD. Market rank is 6. #cardano #bitcoin #blockchain,0.0
Fri Mar 23 02:00:31 +0000 2018,#DASH Price is 0.0472347 (-0.00001340) #BTC / 406.28 (-0.04900) #USD. Market rank is 12. #dash #bitcoin #blockchain,0.0
Fri Mar 23 02:00:31 +0000 2018,#EOS Price is 0.0007845 (+0.00000751) #BTC / 6.74772 (+0.05716) #USD. Market rank is 7. #eos #bitcoin #blockchain,0.0
Fri Mar 23 02:00:31 +0000 2018,#XEM Price is 0.00003374 (+0.00000044) #BTC / 0.290085 (+0.00367) #USD. Market rank is 13. #nem #bitcoin #blockchain,0.0
Fri Mar 23 02:03:05 +0000 2018,@silveragorism @Bitcoin @signalapp @myWickr @Samsung @tipprbot Thank you so much for the support!,1.0
Fri Mar 23 02:03:16 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 02:03:29 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 02:04:12 +0000 2018,BTC $8643.30 Down -$77.72 -0.90% in the last hour #bitcoin #bitsmart,0.0
Fri Mar 23 02:04:14 +0000 2018,New #bitcoin block 0000000000000000004a17ad7123b0eae9c15cabf7951ad24c44dba46ec20606 mined at height 514747.,1.0
Fri Mar 23 02:04:17 +0000 2018,Current price of Bitcoin is $8584.17 “Like” if thats good for you and “retweet” if thats not good for you #bitcoin #btc #bitcoinprice,1.0
Fri Mar 23 02:05:19 +0000 2018,Bitcoin will have a really big move soon and I don't think it will be pretty. Make sure you guys are sitting in nice profits.,1.0
Fri Mar 23 02:05:31 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 02:06:17 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 02:06:29 +0000 2018,"I really wanna China vs USA financial war can fully on, I don't care who wins, but expect a huge pump in bitcoin, cuz we like chaos 🌚",1.0
Fri Mar 23 02:06:45 +0000 2018,"@WeareThrivelabs #thrive #ico #ethereum #bitcoin
Welcome to ICO project! My best recommendation for you! Participate now!",1.0
Fri Mar 23 02:08:23 +0000 2018,@Spruke do you commission bitmojis with bitcoin god I'm old,1.0
Fri Mar 23 02:09:13 +0000 2018,Crypto Collectibles Are Worthless Without a Websitehttps://news.bitcoin.com/crypto-collectibles-are-worthless-without-a-website/,0.0
Fri Mar 23 02:10:33 +0000 2018,New #bitcoin block 00000000000000000005d9276e028d5d5bed13951c19ec762fd4b1b592cc01bb mined at height 514748.,1.0
Fri Mar 23 02:10:33 +0000 2018,New #bitcoin block 00000000000000000027de32b3c537e1d112a86ed648ee1662f9f72e00b39761 mined at height 514749.,1.0
Fri Mar 23 02:10:35 +0000 2018,"#skyfchain

Skyfchain is very unique concept. Invest now

#ICO #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",1.0
Fri Mar 23 02:10:44 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 02:10:56 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 02:11:56 +0000 2018,I invented a currency better than #bitcoin or any #cryptocurrency it's live rhinos.,1.0
Fri Mar 23 02:12:31 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 02:12:47 +0000 2018,@BitcoinCashBCH @Bitcoin @rogerkver you're just stupid...,0.0
Fri Mar 23 02:13:52 +0000 2018,"bitcoin, more like shitcoin, haha like comment subscribe",1.0
Fri Mar 23 02:13:58 +0000 2018,"🅱itcoin To The Ground: $8515.32 USD
Previous Price: $8665.9 USD
Percentage Decrease: 1.738%
#BTC #BITCOIN ⛔😢",0.0
Fri Mar 23 02:14:34 +0000 2018,"If you’re not going to work on making Bitcoin cash again but some ICO bullshit, I’m going to educate regulators to how to put you in jail.",0.0
Fri Mar 23 02:14:39 +0000 2018,@EricBalchunas @ETFcom they did a good job merging away from bitcoin in their holdings.  I don't know how they did it.,1.0
Fri Mar 23 02:14:51 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 02:15:04 +0000 2018,Prediction:  Satoshi comes out of hiding to talk shit about Bitcoin Cash. $BCH $BTC,0.0
Fri Mar 23 02:15:19 +0000 2018,Getting more Bitcoin when trading only matters if your making enough to outweigh its price swings 🤷🏾‍♂️,1.0
