instruction,sentiment
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #MAPS has 1 new tx
(📈 input: 0.00115192 BTC / 10.03 USD)
Final balance: 0.00115192 BTC / 10.03 USD
#donation #bitcoin #cryptopaymon 🤖🗿👍",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @Bitcoin Don't kid yourself. The rich will always control to some degree because they have the buying power...",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @Billyisgreat123 LOL, obviously your clueless, bitcoin is good, just not as good as it once was",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @kyletorpey I would go with dev, bcash is based on bitcoin code base for a reason",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @Blued0g420 @MisterFarbridge yeah for sure, many things are over priced in this space. #Bitcoin is not one of them however 😎",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Thanks to my persistence, hard work and constant observation of the markets I could create this FX Robot. #Close #CFD #Bitcoin",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: THE MOST INNOVATIVE AND LUCRATIVE WAY TO EARN BITCOIN
JOIN BITCLUB NETWORK!!",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Bitcoin is still early in the network effects game",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @tferriss You mean bitcoin, right?  C’mon this is a joke.",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: I respect shitcoin's right to exist.

Because all y'all ain't nothing more than Bitcoin testnets.

We will jack all your innovations.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Bad news: Bitcoin on the decline.
Current Rate: 8680.62 USD = 1 BTC",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Average Bitcoin market price is: USD 8,675.33, EUR 7,046.78",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Install CryptoTab and mine Bitcoin! httpGet more than 1 BTC per month! Develop the network and get your rewardss://getcryptotab.com/422427",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #XEM Price is 0.00003374 (-0.00000011) #BTC / 0.292824 (-0.00112) #USD. Market rank is 13. #nem #bitcoin #blockchain",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #ADA Price is 0.00002297 (-0.00000011) #BTC / 0.199412 (-0.00104) #USD. Market rank is 6. #cardano #bitcoin #blockchain",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #DASH Price is 0.0474768 (-0.00029230) #BTC / 412.08 (-2.72100) #USD. Market rank is 12. #dash #bitcoin #blockchain",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #SUB Price is 0.00004829 (+0.00000056) #BTC / 0.419721 (+0.00527) #USD. Market rank is 114. #substratum #bitcoin #blockchain",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #EOS Price is 0.00079116 (-0.00000373) #BTC / 6.86695 (-0.03540) #USD. Market rank is 7. #eos #bitcoin #blockchain",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Curious about where $BTC stands? Bitcoin is $8650.00 Enjoy your day. ↕️",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: New #bitcoin block 0000000000000000000ddc396a7ed473727624a4e72287b0d9b45c8c6a1022c5 mined at height 514744.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Current price of Bitcoin is $8650.00 “Like” if thats good for you and “retweet” if thats not good for you #bitcoin #btc #bitcoinprice",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @freebitco hello i want to win bitcoin",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: .Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @eskintan Thanks for supporting my art and #bitcoin brother!",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Broke: Trying to identify and support young promising shitcoins.

Woke: Trying to identify and support  young promising Bitcoin talent.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @zerosum0x0 @sundhaug92 ""I hacked Bitcoin using this weird trick!""",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Really need my crypto to blow up so I can buy a bitcoin gat",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @TronNews_ Do you think trx will ever get rid off Bitcoin and become more steady?",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: ""Bitcoin Core is a cult trapped in a world of platonic forms."" - @DanielKrawisz @Satoshis_Vision Conference",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @GlennDuggan Exactly, I also only pay with bitcoin to avoid a paper trail.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @DepressionEcon And after bitcoin is done pumping. It’ll be our time lol",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Bitcoin is my hedge. With the DJIA down 700+, if the global economy craps the bed in the next 10 years, Bitcoin will Rule...
#Bitcoin",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Hey... here's some TA or whatever... #bitcoin is going to go sideways for FUCKING EVER!!!!!!",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: I have 1,000 dollars in bitcoin and not afraid to use it",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: BTC $8721.02 Down -$0.55 -0.01% in the last hour #bitcoin #bitsmart",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: I used #bitcoin to buy headphones yesterday and they're gonna be here on Monday...
What a time to be alive.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #Blockchain is the tech. #Bitcoin is merely the first mainstream manifestation of its potential. #freecoins",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Drive Genuine Cryptocurrency bitcoin traffic for ICO for $5: Welcome to the best bitcoin website traffic Want to Get…",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Bitcoin will be succesful long term if we worship a decentralized system, not a centralized leader.",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @_Kevin_Pham how much did you invest to mine Bitcoin, Kevin ?",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: New #bitcoin block 00000000000000000009fb95b43a4042b322c5468c7763368920718708ff65a0 mined at height 514745.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @_Kevin_Pham Trumps retarded policies and actions are about to make bitcoin way more valuable...probably sooner than later.",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @pwthornton Bitcoin fans: Fuck the FDIC and big government regulations!
Also Bitcoin fans: What the fuck just happened to my money?",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @twobitidiot Same. Gold is seen as a global currency and bitcoin is the new age version of it.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @ValoremF a great bonus to pursue. #AdVelorem #Bitcoin #Valorem #Ico",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @pipis @makmummasjid Me ; 
PINTEREST RENEGADE, BRANDING INTERN, BITCOIN CZAR. IGNORING YOUR PASSION IS LIKE DYING A SLOW DEATH.",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @illusionfoxe in fact by mining a bitcoin you actually end up spending a bunch of money. and/or burning your house down. or both.",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Celebrate birthday and take interesting prizes with @bethereumteam #bethereum #bitcoin #news #crypto #blockchain #betting #tokensupply #bthr",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @APompliano but what if someone killed all the bitcoin developers?",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Satoshi Nakamoto as banned the project of bitcoin in 2015. So making money off a dead coin pure trolling!",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @CryptoCamel1 @MoonOverlord I hate to tell you this... but even 10,000 50k+ follower accounts don't make 24k bitcoin volume.",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @buzzshownetwork 
This project is great
#Bitcoin #ICO #BTC #ETH #YouTube",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @brian_lovin @ruzannaroz If someone can tell me a quick shortcut for the degrees symbol I’ll give you all the Bitcoin I own",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @option_snipper For a second I thought the chart belongs to bitcoin LOL",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: how many out there have applied the Ichimoku Cloud to trading #bitcoin?",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: One Bitcoin now worth $8557.49@bitstamp. High $9099.590. Low $8503.520. Market Cap $144.899 Billion #bitcoin",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #XEM Price is 0.00003330 (-0.00000044) #BTC / 0.286412 (-0.00641) #USD. Market rank is 13. #nem #bitcoin #blockchain",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #EOS Price is 0.00077699 (-0.00001417) #BTC / 6.69056 (-0.17639) #USD. Market rank is 7. #eos #bitcoin #blockchain",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #ADA Price is 0.00002276 (-0.00000021) #BTC / 0.195699 (-0.00371) #USD. Market rank is 6. #cardano #bitcoin #blockchain",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #DASH Price is 0.0472481 (-0.00022870) #BTC / 406.329 (-5.75100) #USD. Market rank is 12. #dash #bitcoin #blockchain",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #SUB Price is 0.00004793 (-0.00000036) #BTC / 0.412197 (-0.00752) #USD. Market rank is 114. #substratum #bitcoin #blockchain",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: What’s up with them bitcoin wallets... y’all been quiet lately.. talk to me",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #Bitcoin is based on #blockchain. A public ledger of transactions that's safe, huge potential to be future currency. #bitcoinminer",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @ezbreh @altcointhoreau easy.. sell house when 3k and buy more bitcoin",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: New #bitcoin block 00000000000000000048e6d5fc56c1eb43530236193bd8bec8101caf8f2befd7 mined at height 514746.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: So @rocketman_ai  you like #Bitcoin &amp; #Crypto Cool 👍🏻 Great to connect RocketMan much appreciated",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Go home, Bitcoin, you’re drunk.",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Bitcoin news sentiment changed to Negative in the last hour #bitcoin #bitsmart",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: It is a exiting news. I hope it will be a great project.
#CCA #ICO #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Correcting wrong or strange Kanji Tattoo designs.
1 revision ＝ 0.00005bitcoin
Give me DM or reply.
#Japanese #Kanji #tattoo #bitcoin",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: BTC-KORE AskRate: 0.00035205 #Bittrex  #KORE $KORE #Kore #altcoin #bitcoin #cryptocurrencies
 ♥ FOLLOW for PROFIT",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Ready Player One is a synonym for bitcoin",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Yes, I'm reading all the updated exchange TOU's. But I'm sure as hell not liking it. #bitcoin.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Cityof Atlanta has a cyber attacker?
locked them out of accounts for ransom in bitcoin or sumn lol",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: #BinaryFest #BinaryOptions #Forex #Bitcoin #MakeMoney, How to Choose the Best Forex Broker For You...",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @coindesk Would be curious to see how this actually works #btc #bitcoin",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: The Robot can tell the price movements in the next few seconds, that's why it's easy to win much money very fast. #BestEA #Bitcoin",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @Stephen81183184 @YouTube Lol the guys does bad investment on bitcoin, and tries to gives some on Linda. 1000x!!! Where do i sign lol",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @ruzannaroz @brian_lovin That’s the one! You win all my bitcoin! Sorry that I don’t own any....",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @jaykelly26 👍BBC is much more trustworthy  I still don't understand shite about bitcoin tho",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @Trader_Dante Am only interested in your 24k gold bitcoin toilet flush button",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Wow my tweet is getting deleted about @usbank not processing crypto transactions? What’s actually going on... 

#crypto
#BTCUSD 
#bitcoin",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @matthiasochs13 @LaneSnyder22 he's working with responsive blockchain artificial intelligence and gets paid in bitcoin",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: My goal is to inspire a new generation of Bitcoin shitposters, so I can fade away and dissappear into the background....",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: ""Increasing the Bitcoin blocksize was the most important step, but it's one among many.""

- Emin Gün Sirer @Satoshis_Vision Conference",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @el33th4xor 'hey all look at me im a nice guy donating to charity with Bitcoin Cash - see, we're the good guys'. You make me sick.",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: I feel that bitcoin is ridiculous and that's excellent",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Ecuador the only country in the world where you can buy real estate with BTC and ETH contact me. @Bitcoin @ethereum @bitcoingold @BITCOlN",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Have you invested in Bitcoin or any other cryptocurrency?",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: This coin exchange crap is dumb.
Exchange burn - 1/1 crap 
Does bitcoin or Litecoin do this crap. Not easy for all of us to exchange",0.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: @alamin24 @Bitcoin It will be more advanced in the future!!",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
"Determine the emotional tone of the given text, which primarily revolves around cryptocurrencies and their associated concepts. Text: Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
